plots,rep,trt,yield
101,1,T1,16
102,1,T2,11
103,1,T3,24
104,1,T4,27
105,1,T5,28
106,1,T6,23
107,1,T0,11
201,2,T1,14
202,2,T2,18
203,2,T3,26
204,2,T4,15
205,2,T5,26
206,2,T6,14
207,2,T0,12
301,3,T1,14
302,3,T2,16
303,3,T3,10
304,3,T4,11
305,3,T5,10
306,3,T6,11
307,3,T0,8
